antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
frozenset({'REGENCY TEA PLATE ROSES'}),frozenset({'REGENCY TEA PLATE GREEN'}),0.02317529457753951,0.019768805495057797,0.016529848662534204,0.7132530120481928,36.0797222789463,1.0,0.01607170077174016,3.4184533253743785,0.9953511566677586,0.6257928118393236,0.7074700442515233,0.7747056020692942,1,1
frozenset({'REGENCY TEA PLATE GREEN'}),frozenset({'REGENCY TEA PLATE ROSES'}),0.019768805495057797,0.02317529457753951,0.016529848662534204,0.8361581920903954,36.07972227894629,1.0,0.01607170077174016,5.961999064130188,0.9918921228526424,0.6257928118393236,0.832271023654397,0.7747056020692942,1,1
"frozenset({""POPPY'S PLAYHOUSE BEDROOM""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN""})",0.023063606410900765,0.023733735410733234,0.016976601329089184,0.7360774818401937,31.013975217205527,1.0,0.016429215796915576,3.6990639199574975,0.9906033572412798,0.5692883895131086,0.7296613355057974,0.7256857997436262,1,1
"frozenset({""POPPY'S PLAYHOUSE KITCHEN""})","frozenset({""POPPY'S PLAYHOUSE BEDROOM""})",0.023733735410733234,0.023063606410900765,0.016976601329089184,0.7152941176470587,31.013975217205523,1.0,0.016429215796915576,3.431388159300554,0.9912833275128101,0.5692883895131086,0.7085727543561153,0.7256857997436262,1,1
frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.018205171162115372,0.02758697715976992,0.015133746579549896,0.8312883435582823,30.13336106902462,1.0,0.014631520938510917,5.76375718992573,0.9847415788303836,0.49362477231329693,0.8265020598459863,0.6899356697548497,1,1
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN TREE CHRISTMAS SCANDINAVIAN'}),0.02758697715976992,0.018205171162115372,0.015133746579549896,0.548582995951417,30.133361069024616,1.0,0.014631520938510917,2.1749176925825786,0.9942423302944337,0.49362477231329693,0.5402124855527003,0.6899356697548497,1,1
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.023342826827497627,0.028871391076115485,0.01909867649522533,0.8181818181818182,28.338842975206614,1.0,0.01842473661306661,5.341207349081366,0.9877700904060331,0.5767284991568297,0.8127764127764129,0.7398452611218569,1,1
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.028871391076115485,0.023342826827497627,0.01909867649522533,0.6615087040618955,28.33884297520661,1.0,0.01842473661306661,2.8853243344581925,0.9933933933933934,0.5767284991568297,0.6534185124155962,0.7398452611218569,1,1
frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),0.022505165577707043,0.024292176243926957,0.015357122912827386,0.6823821339950372,28.09061350218191,1.0,0.014810423464214968,3.071955101357011,0.9866046202426458,0.48845470692717574,0.6744744089657241,0.6572830210205071,1,1
frozenset({'SCANDINAVIAN PAISLEY PICNIC BAG'}),frozenset({'PINK VINTAGE PAISLEY PICNIC BAG'}),0.024292176243926957,0.022505165577707043,0.015357122912827386,0.6321839080459769,28.090613502181906,1.0,0.014810423464214968,2.6575640810856083,0.9884115884115885,0.48845470692717574,0.6237155645212129,0.6572830210205071,1,1
