Rule_Display,Support_%,Confidence_%,Lift,Antecedent_Text,Consequent_Text
REGENCY TEA PLATE ROSES  ===>  REGENCY TEA PLATE GREEN,1.65,71.33,36.08,REGENCY TEA PLATE ROSES,REGENCY TEA PLATE GREEN
REGENCY TEA PLATE GREEN  ===>  REGENCY TEA PLATE ROSES,1.65,83.62,36.08,REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES
POPPY'S PLAYHOUSE BEDROOM  ===>  POPPY'S PLAYHOUSE KITCHEN,1.7,73.61,31.01,POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN
POPPY'S PLAYHOUSE KITCHEN  ===>  POPPY'S PLAYHOUSE BEDROOM,1.7,71.53,31.01,POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM
WOODEN TREE CHRISTMAS SCANDINAVIAN  ===>  WOODEN STAR CHRISTMAS SCANDINAVIAN,1.51,83.13,30.13,WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN
WOODEN STAR CHRISTMAS SCANDINAVIAN  ===>  WOODEN TREE CHRISTMAS SCANDINAVIAN,1.51,54.86,30.13,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN
SET/6 RED SPOTTY PAPER CUPS  ===>  SET/6 RED SPOTTY PAPER PLATES,1.91,81.82,28.34,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES
SET/6 RED SPOTTY PAPER PLATES  ===>  SET/6 RED SPOTTY PAPER CUPS,1.91,66.15,28.34,SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS
PINK VINTAGE PAISLEY PICNIC BAG  ===>  SCANDINAVIAN PAISLEY PICNIC BAG,1.54,68.24,28.09,PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG
SCANDINAVIAN PAISLEY PICNIC BAG  ===>  PINK VINTAGE PAISLEY PICNIC BAG,1.54,63.22,28.09,SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG
SMALL MARSHMALLOWS PINK BOWL  ===>  SMALL DOLLY MIX DESIGN ORANGE BOWL,1.93,77.93,26.73,SMALL MARSHMALLOWS PINK BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL
SMALL DOLLY MIX DESIGN ORANGE BOWL  ===>  SMALL MARSHMALLOWS PINK BOWL,1.93,66.28,26.73,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL
WOODEN STAR CHRISTMAS SCANDINAVIAN  ===>  WOODEN HEART CHRISTMAS SCANDINAVIAN,2.11,76.52,26.25,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN
WOODEN HEART CHRISTMAS SCANDINAVIAN  ===>  WOODEN STAR CHRISTMAS SCANDINAVIAN,2.11,72.41,26.25,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN
SET OF 12 FAIRY CAKE BAKING CASES  ===>  SET OF 12 MINI LOAF BAKING CASES,1.68,56.07,23.08,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES
SET OF 12 MINI LOAF BAKING CASES  ===>  SET OF 12 FAIRY CAKE BAKING CASES,1.68,68.97,23.08,SET OF 12 MINI LOAF BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES
CHRISTMAS CRAFT LITTLE FRIENDS  ===>  CHRISTMAS CRAFT TREE TOP ANGEL,1.51,50.56,20.44,CHRISTMAS CRAFT LITTLE FRIENDS,CHRISTMAS CRAFT TREE TOP ANGEL
CHRISTMAS CRAFT TREE TOP ANGEL  ===>  CHRISTMAS CRAFT LITTLE FRIENDS,1.51,60.95,20.44,CHRISTMAS CRAFT TREE TOP ANGEL,CHRISTMAS CRAFT LITTLE FRIENDS
BATHROOM METAL SIGN  ===>  TOILET METAL SIGN,1.62,43.74,19.58,BATHROOM METAL SIGN,TOILET METAL SIGN
TOILET METAL SIGN  ===>  BATHROOM METAL SIGN,1.62,72.5,19.58,TOILET METAL SIGN,BATHROOM METAL SIGN
